EventNumber,TriggerBits,Timestamp
109953,1000111,1989-09-29 13:59:36
109954,1000111,1989-09-29 13:59:37
109955,1000111,1989-09-29 13:59:37
109956,11101000,1989-09-29 13:59:38
109957,11101000,1989-09-29 13:59:39
109958,11101000,1989-09-29 13:59:40
109959,1000111,1989-09-29 13:59:40
109960,1000111,1989-09-29 13:59:40
109961,11101000,1989-09-29 13:59:41
109962,1000111,1989-09-29 13:59:41
109963,1000111,1989-09-29 13:59:42
109964,1000111,1989-09-29 13:59:43
109965,1000111,1989-09-29 13:59:44
109966,1000111,1989-09-29 13:59:44
109967,11101000,1989-09-29 13:59:44
109968,11101000,1989-09-29 13:59:44
109969,1000111,1989-09-29 13:59:45
109970,1000111,1989-09-29 13:59:45
109971,11101000,1989-09-29 13:59:45
109972,11101000,1989-09-29 13:59:47
109973,11101000,1989-09-29 13:59:47
109974,11101000,1989-09-29 13:59:48
109975,1000111,1989-09-29 13:59:48
109976,1000111,1989-09-29 13:59:49
109977,1000111,1989-09-29 13:59:50
109978,1000111,1989-09-29 13:59:52
109979,1000111,1989-09-29 13:59:54
109980,1000111,1989-09-29 13:59:54
109981,1000111,1989-09-29 13:59:54
109982,1100111,1989-09-29 13:59:55
109983,11101000,1989-09-29 13:59:56
109984,11101000,1989-09-29 13:59:58
109985,11101000,1989-09-29 13:59:59
109986,11101000,1989-09-29 13:59:59
109987,1000111,1989-09-29 14:00:00
109988,11101000,1989-09-29 14:00:01
109989,11101000,1989-09-29 14:00:01
109990,11101000,1989-09-29 14:00:02
109991,11101000,1989-09-29 14:00:03
109992,11101000,1989-09-29 14:00:03
109993,11101000,1989-09-29 14:00:05
109994,1000111,1989-09-29 14:00:05
109995,1000111,1989-09-29 14:00:05
109996,11101000,1989-09-29 14:00:06
109997,11101000,1989-09-29 14:00:06
109998,1000111,1989-09-29 14:00:06
109999,11101000,1989-09-29 14:00:07
110000,11101000,1989-09-29 14:00:07
110001,11101000,1989-09-29 14:00:08
110002,11101000,1989-09-29 14:00:09
110003,11101000,1989-09-29 14:00:10
110004,11101000,1989-09-29 14:00:11
110005,11101000,1989-09-29 14:00:12
110006,1000111,1989-09-29 14:00:12
110007,11101000,1989-09-29 14:00:13
110008,1000111,1989-09-29 14:00:14
110009,11101000,1989-09-29 14:00:14
110010,1000111,1989-09-29 14:00:15
110011,11101000,1989-09-29 14:00:15
110012,11101000,1989-09-29 14:00:16
110013,1000111,1989-09-29 14:00:16
110014,11101000,1989-09-29 14:00:16
110015,1000111,1989-09-29 14:00:16
110016,11101000,1989-09-29 14:00:17
110017,11101000,1989-09-29 14:00:18
110018,11101000,1989-09-29 14:00:19
110019,1000111,1989-09-29 14:00:19
110020,11101000,1989-09-29 14:00:19
110021,1000111,1989-09-29 14:00:20
110022,1000111,1989-09-29 14:00:21
110023,11101000,1989-09-29 14:00:23
110024,1000111,1989-09-29 14:00:24
110025,11101000,1989-09-29 14:00:25
110026,1000111,1989-09-29 14:00:25
110027,11101000,1989-09-29 14:00:25
110028,11101000,1989-09-29 14:00:25
110029,1000111,1989-09-29 14:00:26
110030,1000111,1989-09-29 14:00:27
110031,1000111,1989-09-29 14:00:27
110032,1000111,1989-09-29 14:00:27
110033,11101000,1989-09-29 14:00:27
110034,11101000,1989-09-29 14:00:28
110035,1000111,1989-09-29 14:00:28
110036,1000111,1989-09-29 14:00:29
110037,1000111,1989-09-29 14:00:30
110038,11101000,1989-09-29 14:00:31
110039,1000111,1989-09-29 14:00:31
110040,1000111,1989-09-29 14:00:32
110041,1000111,1989-09-29 14:00:32
110042,1000111,1989-09-29 14:00:35
110043,11101000,1989-09-29 14:00:35
110044,1000111,1989-09-29 14:00:36
110045,1000111,1989-09-29 14:00:36
110046,1000111,1989-09-29 14:00:37
110047,1000111,1989-09-29 14:00:37
110048,1000111,1989-09-29 14:00:37
110049,11101000,1989-09-29 14:00:37
110050,1000111,1989-09-29 14:00:38
110051,11101000,1989-09-29 14:00:38
110052,1000111,1989-09-29 14:00:39
110053,11101000,1989-09-29 14:00:39
110054,1000111,1989-09-29 14:00:40
110055,1000111,1989-09-29 14:00:40
110056,1000111,1989-09-29 14:00:42
110057,11101000,1989-09-29 14:00:42
110058,11101000,1989-09-29 14:00:42
110059,1000111,1989-09-29 14:00:43
110060,1000111,1989-09-29 14:00:44
110061,1000111,1989-09-29 14:00:46
110062,11101000,1989-09-29 14:00:46
110063,11101000,1989-09-29 14:00:50
110064,1000111,1989-09-29 14:00:51
110065,1000111,1989-09-29 14:00:51
110066,11101000,1989-09-29 14:00:51
110067,1000111,1989-09-29 14:00:52
110068,1000111,1989-09-29 14:00:52
110069,11101000,1989-09-29 14:00:53
110070,11101000,1989-09-29 14:00:54
110071,11101000,1989-09-29 14:00:55
110072,1000111,1989-09-29 14:00:56
110073,11101000,1989-09-29 14:00:57
110074,11101000,1989-09-29 14:00:57
110075,1000111,1989-09-29 14:00:57
110076,1000111,1989-09-29 14:00:58
110077,1000111,1989-09-29 14:00:58
110078,1000111,1989-09-29 14:00:58
110079,11101000,1989-09-29 14:00:59
110080,11101000,1989-09-29 14:00:59
110081,1000111,1989-09-29 14:01:02
110082,1000111,1989-09-29 14:01:02
110083,1000111,1989-09-29 14:01:02
110084,1000111,1989-09-29 14:01:03
110085,11101000,1989-09-29 14:01:03
110086,1000111,1989-09-29 14:01:03
110087,1000111,1989-09-29 14:01:03
110088,1000111,1989-09-29 14:01:04
110089,11101000,1989-09-29 14:01:05
110090,11101000,1989-09-29 14:01:05
110091,1000111,1989-09-29 14:01:06
110092,1000111,1989-09-29 14:01:06
110093,1000111,1989-09-29 14:01:07
110094,11101000,1989-09-29 14:01:08
110095,11101000,1989-09-29 14:01:08
110096,1000111,1989-09-29 14:01:09
110097,1000111,1989-09-29 14:01:09
110098,1000111,1989-09-29 14:01:10
110099,11101000,1989-09-29 14:01:10
110100,1000111,1989-09-29 14:01:11
110101,1000111,1989-09-29 14:01:11
110102,11101000,1989-09-29 14:01:13
110103,11101000,1989-09-29 14:01:14
110104,11101000,1989-09-29 14:01:14
110105,1000111,1989-09-29 14:01:14
